Query_Category,Response_Time_Minutes
Hostel,59
Hostel,75
Hostel,75
Hostel,88
Hostel,54
Hostel,66
Hostel,37
Hostel,60
Hostel,73
Hostel,54
Hostel,69
Hostel,65
Hostel,68
Hostel,61
Hostel,60
Hostel,66
Hostel,71
Hostel,56
Hostel,70
Hostel,67
Hostel,85
Hostel,66
Hostel,60
Hostel,96
Hostel,37
Hostel,84
Hostel,79
Hostel,51
Hostel,84
Hostel,73
Hostel,62
Hostel,50
Hostel,76
Hostel,57
Hostel,47
Hostel,62
Hostel,61
Hostel,68
Hostel,65
Hostel,86
Fees,42
Fees,52
Fees,23
Fees,15
Fees,50
Fees,30
Fees,18
Fees,25
Fees,22
Fees,41
Fees,47
Fees,52
Fees,52
Fees,50
Fees,35
Fees,29
Fees,16
Fees,55
Fees,36
Fees,32
Fees,56
Fees,25
Fees,51
Fees,43
Fees,23
Fees,37
Fees,53
Fees,50
Fees,61
Fees,44
Fees,89
Fees,25
Fees,33
Fees,38
Fees,17
Fees,54
Fees,52
Fees,39
Fees,30
Fees,16
Technical,96
Technical,84
Technical,76
Technical,85
Technical,62
Technical,67
Technical,49
Technical,68
Technical,86
Technical,68
Technical,60
Technical,66
Technical,82
Technical,68
Technical,84
Technical,52
Technical,58
Technical,64
Technical,52
Technical,116
Technical,55
Technical,85
Technical,62
Technical,64
Technical,76
Technical,50
Technical,62
Technical,69
Technical,59
Technical,59
Technical,88
Technical,87
Technical,65
Technical,70
Technical,90
Technical,50
Technical,77
Technical,101
Technical,101
Technical,42
Examination,101
Examination,95
Examination,95
Examination,70
Examination,105
Examination,62
Examination,92
Examination,116
Examination,69
Examination,75
Examination,85
Examination,76
Examination,60
Examination,85
Examination,68
Examination,91
Examination,70
Examination,107
Examination,72
Examination,79
Examination,96
Examination,65
Examination,87
Examination,103
Examination,59
Examination,86
Examination,87
Examination,95
Examination,65
Examination,64
Examination,91
Examination,88
Examination,87
Examination,89
Examination,73
Examination,87
Examination,88
Examination,73
Examination,111
Examination,91
Admissions,44
Admissions,39
Admissions,38
Admissions,28
Admissions,58
Admissions,59
Admissions,51
Admissions,16
Admissions,79
Admissions,47
Admissions,53
Admissions,22
Admissions,44
Admissions,51
Admissions,42
Admissions,58
Admissions,64
Admissions,24
Admissions,57
Admissions,50
Admissions,44
Admissions,21
Admissions,67
Admissions,50
Admissions,18
Admissions,41
Admissions,49
Admissions,52
Admissions,43
Admissions,50
Admissions,76
Admissions,68
Admissions,30
Admissions,36
Admissions,43
Admissions,18
Admissions,24
Admissions,20
Admissions,27
Admissions,65
